BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
JHAJJAR,Vegetables,2022,11,25,Onion,JHAJJAR,Seeds and Planting Material,,HORTICULTURE,HARYANA,Information regarding sowing time of onion,      :-                                 35             -2   -3     -4         -53              4 - 5         3 -4                   :- 20    100   125      35      10    21     I        400-500    45    900 -1100      30  400-500      50-60              8-10               350   Oxyflurfen  23 5  EC     50 -60               8 -10                175    2 8  EC   60      25 EC  300    50  EC  140 -160                         400 -500   -45      200           -99  20     100                         19: 19: 19  100   10             2000                         1                  15        10    1          200     Hisar -2 -  130-145 Days 120 Qtl  Pusa Red :- 125-140 Days 100-120 Qtl    Hisar Onion -3:- 130-140 Days 125 Qtl    Hisar Onion -4 :- 130-135 Days 132 Qtl     Khrif onion varieties : Nipad -53 N-53 :- 140-145 Days 90-100 qtl  Agrifound Dark Red  ADR  :- 140-150 Days 110-120 Qtl    :                                 : 9    430           01662-255433  34        1800 180 3001                                  4--        01662- 284321 255405       01662-284323 255430 255432          01662-255433 255434                 18001803001    1000  1200       18001803111  1000  1200        18001804002   ,28.5964,76.6505
LOHARU,Pulses,2016,7,13,Green Gram Moong Bean Moong,BHIWANI,Bio-Pesticides and Bio-Fertilizers,KHARIF,AGRICULTURE,HARYANA,yellow mosaic virus in greengram,Spray methyl demeton 25 EC 200 mlacre for control of yellow mosaic virus in greengram,28.7932,76.1391
SIWANI,Pulses,2022,6,10,Green Gram Moong Bean Moong,BHIWANI,Varieties,,AGRICULTURE,HARYANA, Information regarding  varieties of moong  ,    -    MH-421 1142,28.7932,76.1391
DADRI-I,Fiber Crops,2016,5,30,Cotton Kapas,BHIWANI,Varieties,KHARIF,AGRICULTURE,HARYANA,improved varieties of BT cotton ,Rasi-134 Rasi-138 Rasi-650 Rasi-653 R C H- 776R C H -602 ankur -3028 sriram-64886588 bayare-7007,28.7932,76.1391
0   ,0,2010,2,3,Others,KARNAL,29,KHARIF,AGRICULTURE,HARYANA,FARMER ASKS ME ABOUT THE TOLL FREE NUMBER OF HISAR UNIVERSITY ,18001803001USE ANY NETWORK,29.7256,76.9107
FATEHABAD,Fiber Crops,2011,8,10,Cotton Kapas,FATEHABAD,3,JAYAD,AGRICULTURE,HARYANA,how to control thirips in cotton crop ,spray to carvoril  600 gm in 200 liter of water  acre ,29.5359,75.5753
BARAGUDHA,Fiber Crops,2017,8,4,Cotton Kapas,SIRSA,Weather,KHARIF,AGRICULTURE,HARYANA,Information regarding how to control white  fly in cotton crop ,spray 200ml oberon 50 gm ektara 500 ml nimbisidin mixed in 200liter water  ecd ,29.6063,74.9037
0   ,0,2010,2,24,1275,BHIWANI,85,,HORTICULTURE,HARYANA,SOWING TIME OF BOTTLE GOURD ,FEB-MARCH ,28.7932,76.1391
KATHURA,Fiber Crops,2014,9,9,Cotton Kapas,SONEPAT,Plant Protection,KHARIF,AGRICULTURE,HARYANA,how control disease in cotton ,how control disease in cotton spray of coc  600-800 gram in 150-200 litre water per acre,28.992,77.0343
REWARI,Cereals,2019,2,3,Wheat,REWARI,Weed Management,,AGRICULTURE,HARYANA,Information regarding how to control mixed weeds in wheat crop ,Spray 500 ml accord plus in  250 liter water  acre at 30-35 days after sowing time ,28.1956,76.6165
JIND,Others,2020,12,30,Others,JIND,Government Schemes,,AGRICULTURE,HARYANA,information regarding  Pradhan Mantri Fasal bima yojana ,--                    common service centre   1800-103-0061    ,29.314,76.3179
HISAR-I,Fiber Crops,2016,9,11,Cotton Kapas,HISSAR,Bio-Pesticides and Bio-Fertilizers,KHARIF,AGRICULTURE,HARYANA,How to control flower dropping in cotton ,How to control flower dropping in cotton  spray of N:P:K 13:00:45 2 kg in 200 liter water ,29.8573,76.4545
0   ,0,2010,7,2,Guar,HISSAR,5,JAYAD,AGRICULTURE,HARYANA,IMPROVED VARITIES OF GUARA CROP ,IMPROVED VARITIES OF GUARA CROP :- HG-75 HG-365 HG-563,29.8573,76.4545
BHIWANI,Oilseeds,2021,10,22,Mustard,BHIWANI,Varieties,,AGRICULTURE,HARYANA,Information regarding  varieties  of mustard ,   RH-30  T-59 RH-8113 RB-50 RH 8812 RH 781 RH-819  RH 9304 RH 9801 RH 0406 RB 9901  RH - 0749RH-725RH- 725 -136-143DAYS FOR MATURITY25-26 MAN OR10-105 QUINTAL PER ACRE,28.7932,76.1391
GOHANA,Vegetables,2023,7,6,Radish,SONEPAT,Nutrient Management,,HORTICULTURE,HARYANA,Information regarding how to control insect pest  in radish,        250        25  EC    30  EC  250         ,28.992,77.0343
PALWAL,Vegetables,2021,9,17,Bitter Gourd,PALWAL,Cultural Practices,,HORTICULTURE,HARYANA,SOWING TIME OF BITTER GOURD ,                        i,28.0599,77.3223
SAFIDON,Vegetables,2013,2,13,Bottle Gourd ,JIND,0,,HORTICULTURE,HARYANA,sowing time of bitter guard ,feb to march,29.314,76.3179
KHOL AT REWARI,Vegetables,2014,11,30,Potato,REWARI,Plant Protection,RABI,HORTICULTURE,HARYANA,How to control Early Blight in potato,Spray 400 gm M-45 in 200 lt of water per acre,28.1956,76.6165
KANINA,Oilseeds,2017,10,17,Mustard,MAHENDRA GARH,Varieties,RABI,AGRICULTURE,HARYANA,information regarding of varieties of mustard,RH-30  T-59 RH-8113 RB-50 RH 8812 RH 781 RH-819  RH 9304  RH 9801 RH 0406 RB 9901  RH - 0749,29.0,76.0
MAHENDRAGARH,Millets,2018,6,25,Pearl Millet BajraBulrush MilletSpiked Millet,MAHENDRA GARH,Varieties,KHARIF,AGRICULTURE,HARYANA,Information regarding improved varieties of Bajra,Information regarding improved varieties of BajraHHB-50 HHB-60 HHB-67 HHB-94 HHB-117 HHB-146 HHB-197 HHB-216 HHB-223,29.0,76.0
NATHUSARI CHOPTA,Others,2015,5,27,Others,SIRSA,Training and Exposure Visits,KHARIF,AGRICULTURE,HARYANA,INFORMATION REGARDING OF USSD SERVICE SEVA ,INFORMATION REGARDING OF USSD SERVICE SEVA -491103 OK,29.6063,74.9037
SONIPAT,Cereals,2015,9,15,Paddy Dhan,SONEPAT,Plant Protection,KHARIF,AGRICULTURE,HARYANA,Information regarding how to control black grain in paddy crop ,spray propiconazole 25 ec  200 ml in 200 litre of wateracre,28.992,77.0343
NARWANA,Vegetables,2014,2,4,Onion,JIND,Fertilizer Use and Availability,KHARIF,HORTICULTURE,HARYANA,Information regarding to improved growth in onion crop ,spray npk 19:19:19  1 kg in 100 litre of wateracre,29.314,76.3179
FARRUKH NAGAR,Fodder Crops,2020,6,5,fodder sorghum,GURGAON,Nutrient Management,,AGRICULTURE,HARYANA,INFORMATION REGARDING HOW TO IMPROVE GROWTH IN  SORGHUM CROP ,       NPK 19:19:19 1   100           ,28.4646,77.0299
HISAR-I,Oilseeds,2024,1,3,Mustard,HISSAR,Plant Protection,,AGRICULTURE,HARYANA,Information regarding improved growth in mustard ,         NPK 18:18:18 1   100        ,29.8573,76.4545
0   ,0,2010,12,27,1296,ROHTAK,75,KHARIF,HORTICULTURE,HARYANA,CONTROL OF LATE BLIGHT IN POTATO CROP ,SPRAY TO INDOFIL-M-45  600 GM IN 200 LITRES OF WATERACRE ,28.9011,76.5802
HISAR-I,Cereals,2020,1,1,Wheat,HISSAR,Weed Management,,AGRICULTURE,HARYANA,Information regarding how to control mixed weeds in wheat crop ,             500     Fenoxaprop-p-ethyl 8 Metribuzin 14  160   Clodinafop propargyl  15  Metsulfuron methyl 1  WP   200       30 -35          ,29.8573,76.4545
PUNDRI,Millets,2022,4,20,Maize Makka,KAITHAL,Plant Protection,,AGRICULTURE,HARYANA,Information regarding control of caterpillar in maize ,            500      36 SL 250    250         ,29.7997,76.399
TOSHAM,Vegetables,2014,12,8,Pea Vegetable,BHIWANI,Cultural Practices,RABI,HORTICULTURE,HARYANA,information regarding  how to control thirps in pea crop ,information regarding  how to control thirps in pea crop spray 400 gm melathion or350 ml  rogor in 200 liter water   acre ,28.7932,76.1391
REWARI,Cereals,2017,9,25,Paddy Dhan,REWARI,Bio-Pesticides and Bio-Fertilizers,KHARIF,AGRICULTURE,HARYANA,sowing time of oat ,sowing time of oat --15 october to 15 november ,28.1956,76.6165
ROHTAK,Fiber Crops,2017,9,3,Cotton Kapas,ROHTAK,Plant Protection,,AGRICULTURE,HARYANA,information regardingh how to control fangle disease in cotton ,control are:-spray-stereptocyclien6-8 gramcoc coper oxi cloried600-800 gram in 150-200 leetr water per acer,28.9011,76.5802
MAHENDRAGARH,Cereals,2017,2,27,Wheat,MAHENDRA GARH,Field Preparation,RABI,AGRICULTURE,HARYANA,Information regarding HAU Helpline No,HAU Helpline no 1800-180-3001contect :-Monday Wednesdayand Friday 10 am to 12 am,29.0,76.0
FARRUKH NAGAR,Others,2022,2,19,Others,GURGAON,Government Schemes,,AGRICULTURE,HARYANA,other state call,               I,28.4646,77.0299
KANINA,Cereals,2018,4,13,Paddy Dhan,MAHENDRA GARH,Sowing Time and Weather,KHARIF,AGRICULTURE,HARYANA,Information regarding sowing time of nursury of paddy ,sowing time of nursury of paddy  15 may to 30 june,29.0,76.0
HODAL,Others,2024,1,10,Others,PALWAL,Government Schemes,,AGRICULTURE,HARYANA,Information regarding subsidies on Solar pump,   75         wwwsaralharyanagovin             - 0172 258 7233,28.0599,77.3223
JHAJJAR,0,2011,1,9,Wheat,JHAJJAR,22,KHARIF,AGRICULTURE,HARYANA,WEEDS CONTROL IN WHEAT CROP ,SPRAY OF ALGRIP  80 GM IN 200 LITRES OF WATER  ACRE ,28.5964,76.6505
KANINA,Cereals,2017,3,5,Wheat,MAHENDRA GARH,Nutrient Management,RABI,AGRICULTURE,HARYANA,Information regarding control of zinc deficiency in wheat ,spray 25kg Urea  500 gm Zinc in 100 Ltr of water acre ,29.0,76.0
NAHAR,Others,2018,5,23,Others,REWARI,Weather,KHARIF,AGRICULTURE,HARYANA,Information regarding Weather ,some cloud and no chance of rainfall today ,28.1956,76.6165
SIRSA,Others,2015,8,25,Others,SIRSA,Weather,KHARIF,AGRICULTURE,HARYANA,Weather of sirsa ,Today some chance of rain fall ,29.6063,74.9037
GOHANA,Others,2025,3,5,Others,SONEPAT,Government Schemes,,AGRICULTURE,HARYANA,Asked about to pm kisan samman nidhi yojana ,                  DBT    ,28.992,77.0343
GUHLA,Cereals,2012,10,30,Wheat,KAITHAL,5,KHARIF,AGRICULTURE,HARYANA,Improved varieties of wheat,improved varieties of wheat: Raj 3765 WH 542WH 711 WH 1105 DBW 17 WH 157 PBW 343,29.7997,76.399
TOSHAM,Others,2020,1,24,Others,BHIWANI,Weather,,AGRICULTURE,HARYANA,Farmer asked query on Weather,I                        20      6     21     ,28.7932,76.1391
HANSI-I,Condiments and Spices,2012,4,12,Saffron,HISSAR,74,JAYAD,HORTICULTURE,HARYANA,sowing time of hisar  ,june -july ,29.8573,76.4545
BILASPUR,Cereals,2018,5,30,Wheat,YAMUNA NAGAR,Bio-Pesticides and Bio-Fertilizers,KHARIF,AGRICULTURE,HARYANA,information regardingh weed control of paddy nursury ,weeds control in paddy paddy nursury:-broadcast in 600 gm sofitin 60 kg sand  acre,30.1389,77.3011
FATEHABAD,Others,2020,8,12,Others,FATEHABAD,Government Schemes,,AGRICULTURE,HARYANA,Information regarding subsidies for agriculture implement ,         www agriharyanacrm com               0172 -2571553   2571544            1      2000        1   -3      5000       3        10 000    https:khetibizcomagriculture-farm-implements-subsidy-anudan-india-2020-hindi     1      2000        1   -3      5000       3        10 000    ,29.5359,75.5753
BAWANI KHERA,Pulses,2018,8,3,Lethyrus,BHIWANI,Cultural Practices,,AGRICULTURE,HARYANA,TELL ME WEATHER INFORMATION,NO RAIN POSSIBILITY IN NEXT 5 DAYS,28.7932,76.1391
TOSHAM,Cereals,2015,1,27,Wheat,BHIWANI,Weed Management,RABI,AGRICULTURE,HARYANA,Information regarding for weed control in wheat crop,Spray acord plus 500 ml 200 liter of water per acer 32 days after sowing,28.7932,76.1391
KATHURA,Fodder Crops,2014,12,3,Barseem,SONEPAT,Plant Protection,RABI,AGRICULTURE,HARYANA,How to control of slow groth and yellow leaf in barseem crops,How to  of slow groth and yellow leaf in barseem crops control are:- spray- megnisium sulphat 1kg in 100 liter water per acer,28.992,77.0343
RANIA,Condiments and Spices,2020,10,16,Garlic,SIRSA,Nursery Management,,HORTICULTURE,HARYANA, INFORMATION REGARDING SOWING TIME OF GARLIC ,25                  I,29.6063,74.9037
MATANNAIL,Others,2022,6,4,Others,JHAJJAR,Training and Exposure Visits,,AGRICULTURE,HARYANA,Information regarding PM Kisan Samman Nidhi Yojna,                   wwwpmkisangovin           011-24300606,28.5964,76.6505
FATEHABAD,Fiber Crops,2015,7,29,Cotton Kapas,FATEHABAD,Bio-Pesticides and Bio-Fertilizers,KHARIF,AGRICULTURE,HARYANA,how to control leaf carl in cotton crops,spray500 ml trijophos 500ml nimbisidin in 200 lit in water  acre 151,29.5359,75.5753
ODHAN,Fruits,2015,2,11,Guava,SIRSA,Plant Protection,RABI,HORTICULTURE,HARYANA,How to control flower and fruit dropping ,Spray 1 ml Planofix or oriyofinzin per 45 lt of water,29.6063,74.9037
0   ,0,2009,8,4,9999,FATEHABAD,9999,JAYAD,9999,HARYANA,CONTROL OF IRON DEFY IN PADDY ,SPRAY FERROUS SULPAHTE  500 GM IN 100 LIT WATER PER ACRE ,29.5359,75.5753
PUNAHANA,Fiber Crops,2022,9,28,Cotton Kapas,MEWAT,Cultural Practices,,AGRICULTURE,HARYANA,Information regarding control of flower and fruit dropping in cotton ,   -        2  N:P:K 13:00:45  200          ,27.9935,77.042
ASSANDH,Cereals,2018,7,18,Paddy Dhan,KARNAL,Bio-Pesticides and Bio-Fertilizers,KHARIF,AGRICULTURE,HARYANA,how to control weeds of paddy crops ,spray 100 ml nominee gold  150 liter water per acre ,29.7256,76.9107
BERI,Others,2015,5,13,Others,JHAJJAR,Training and Exposure Visits,KHARIF,AGRICULTURE,HARYANA,Information regarding pusa farm helpline toll free no,Information regarding pusa farm helpline toll free noPusa farm helpline toll free no-1800118989,28.5964,76.6505
CHHACHHRAULI,Vegetables,2018,10,2,Cauliflower,YAMUNA NAGAR,,0,HORTICULTURE,HARYANA,how to control sundi in cauliflower  ,75 ml fanvalrate 20 EC or 60 ml cypermethrin 25 EC or 200 ml deltamethrin 28 EC in 200-250 liter water  acre ,30.1389,77.3011
BHUNA,Others,2015,11,17,Others,FATEHABAD,Varieties,RABI,AGRICULTURE,HARYANA,Information regarding varieties of wheat ,Improved varieties of Wheat-wh-1105whd-948wh-711pbw-343hd-2967dbw-17dbw -621 650 hd 2851 2894 ,29.5359,75.5753
SIRSA,Others,2023,6,27,Others,SIRSA,Government Schemes,,AGRICULTURE,HARYANA,Information regarding subsidies,        http:agriharyanaorg  http:hortharyanagovinen   https:agriharyanagovin   https:saralharyanagovin    0172-2571553  1800 180 2117   ,29.6063,74.9037
RANIA,Fiber Crops,2014,8,9,Cotton Kapas,SIRSA,Bio-Pesticides and Bio-Fertilizers,JAYAD,AGRICULTURE,HARYANA,information regarding how to control thirps in cotton crop ,information regarding how to control thirps in cotton crop spray of rogor 350 ml  1 liter nimbicidin in 200 liter water acre ,29.6063,74.9037
MAHENDRAGARH,Cereals,2016,9,6,Paddy Dhan,MAHENDRA GARH,Bio-Pesticides and Bio-Fertilizers,KHARIF,AGRICULTURE,HARYANA,How to control flower dropping in cotton ,How to control flower dropping in cotton How to control flower dropping in cotton  spray of N:P:K 13:00:45 2 kg in 200 liter water ,29.0,76.0
PEHOWA,Others,2017,6,26,Others,KURKSHETRA,Weather,,AGRICULTURE,HARYANA,Information regarding of fishfarming ,Information regarding of fishfarming : contect no-0184-2269220124-2220679        :-0184-226922  0124-2220679 ,29.0,76.0
BHIWANI,Cereals,2024,11,2,Wheat,BHIWANI,Fertilizer Use and Availability,,AGRICULTURE,HARYANA,Information regarding fertilizer dose in wheat,      :- 60     46 130  24       16 150   DAP 50  12      60 20   21 10        100     50       20      10     21                 12:32:16  70-75           ,28.7932,76.1391
BAPOLI,Sugar and Starch Crops,2022,8,29,Sugarcane Noble Cane,PANIPAT,Plant Protection,,AGRICULTURE,HARYANA,Information regarding control of Pest in sugarcane ,      150 ml   200 SL     200-250      ,29.3913,76.9772
BAWAL,Fiber Crops,2017,5,19,Cotton Kapas,REWARI,Varieties,,AGRICULTURE,HARYANA,improved varieties of BT cotton ,Rasi-134 Rasi-138 Rasi-650 Rasi-653 R C H- 776R C H -602 ankur -3028 sriram-64886588 bayare-7007,28.1956,76.6165
SALHAWAS,Fodder Crops,2017,11,7,Napier Grass,JHAJJAR,Varieties,RABI,AGRICULTURE,HARYANA,varieties of rabi maize,HHM-1  HHM-2  HM-4  HM-5  HM-10  HM-11  HQPM-1  HQPM-5,28.5964,76.6505
SALHAWAS,Vegetables,2013,11,24,Tomato,JHAJJAR,Plant Protection,KHARIF,HORTICULTURE,HARYANA,Information regarding seed treatment in tomato,Seed treatment for 25 gm Emisan or Captan or Thiram per kilogram of seed,28.5964,76.6505
NARWANA,Fiber Crops,2014,7,5,Cotton Kapas,JIND,,JAYAD,AGRICULTURE,HARYANA,Information regarding control of zinc deficiency in cotton,control of zinc deficiency in cottonspray 25kg Urea  500 gm Zinc in 100 Ltr of water acre ,29.314,76.3179
PALWAL,Cereals,2015,10,14,Paddy Dhan,PALWAL,Plant Protection,KHARIF,AGRICULTURE,HARYANA,HOW TO CONTROL FUNJAL DISEASE IN PADDY ,HOW TO CONTROL FUNJAL DISEASE IN PADDY  SPRAY OF CARVENDAJIM BABASTIN500 GM IN 200 LITER WATERACRE ,28.0599,77.3223
HATHIN,Fiber Crops,2014,4,23,Cotton Kapas,PALWAL,Seeds,JAYAD,AGRICULTURE,HARYANA,Information regarding early varieties of BT cotton,Information regarding early varieties of BT cottonearly varieties of BT cotton-HHH-287HHH-223RCH-650BGIIRCH-776BGIIHHH-283,28.0599,77.3223
PUNDRI,Others,2018,11,3,Others,KAITHAL,Market Information,0,AGRICULTURE,HARYANA,Information regarding Mandi rates of different crops,For Information regarding  Mandi rates of different crops- Contact  :- 1800 180 2060,29.7997,76.399
KARNAL,Fodder Crops,2012,8,20,Guar,KARNAL,3,JAYAD,AGRICULTURE,HARYANA,how to control thirips in guara crop ,spray to malathion  200 ml in 200 liter of water  acre ,29.7256,76.9107
HASSANPUR,Pulses,2015,4,24,Green Gram Moong Bean Moong,PALWAL,Field Preparation,JAYAD,AGRICULTURE,HARYANA,improved varieties of moong ,Muskan Basanti satya SML-668  h m-421,28.0599,77.3223
NUH,Fiber Crops,2018,5,9,Cotton Kapas,MEWAT,Varieties,KHARIF,AGRICULTURE,HARYANA,Information regarding improved varieties of btcotton crop ,Bt-cotton varieties  rashi-134138602650653779776sri ram-64886588ankur-3028 bg-2,27.9935,77.042
BADHRA,Vegetables,2014,9,18,Carrot,BHIWANI,Seeds and Planting Material,KHARIF,HORTICULTURE,HARYANA,information regarding varieties  in carrot,information regarding varieties  in carrot-hisar garic natis  pusa kesar ,28.7932,76.1391
BERI,Cereals,2015,12,31,Wheat,JHAJJAR,Varieties,RABI,AGRICULTURE,HARYANA,Information regarding  late varieties of wheat crop ,Late varities of wheat - HD-2851 HD-2932 RAJ-3765 PBW-373 UP-2338 W H-3061025,28.5964,76.6505
PUNDRI,Cereals,2015,5,21,Paddy Dhan,KAITHAL,Seeds,KHARIF,AGRICULTURE,HARYANA,Information regarding seed treatment for nursary sowing in paddy,10 gm Emisan or 10 gm Carbendazim dissolve in 10 lt of water,29.7997,76.399
NILOKHERI,Others,2022,12,14,Others,KARNAL,Government Schemes,,AGRICULTURE,HARYANA,information regarding Pradhanmantri Kisan Samman Nidhi Yojana contact number,                        wwwpmkisangovin       011-24300606        15526118001155266         ,29.7256,76.9107
NATHUSARI CHOPTA,Fodder Crops,2016,6,8,Guar,SIRSA,Varieties,KHARIF,AGRICULTURE,HARYANA,Information regarding improved varieties of Gwar,HG-75 HG-365 HG-563 HG-870 HG 2-20,29.6063,74.9037
NATHUSARI CHOPTA,Oilseeds,2021,10,4,Mustard,SIRSA,Cultural Practices,,AGRICULTURE,HARYANA,Information regarding control of stem rot in mustard,            2  50 WP                         45-50   65-70       100  100          ,29.6063,74.9037
NARWANA,Cereals,2015,11,26,Wheat,JIND,Weather,RABI,AGRICULTURE,HARYANA,Information regarding first irrigation in wheat crop ,first irrigation in wheat crop sowing time after 21 to 25 days,29.314,76.3179
BAWANI KHERA,Fiber Crops,2020,9,10,Cotton Kapas,BHIWANI,Plant Protection,,AGRICULTURE,HARYANA,Information regarding control of whitefly JassidThrips  in cotton ,          300     30  EC    1        250         ,28.7932,76.1391
FATEHABAD,Fiber Crops,2020,8,31,Cotton Kapas,FATEHABAD,Crop Insurance,,AGRICULTURE,HARYANA,information regarding Pradhan Mantri Fasal bima yojana  ,               1800-103-0061  1800 180 2117 Landline Nos: 91 11 46869800     ,29.5359,75.5753
